"Category Name","Profession Name"
Accounting,Analyst
Accounting,Auditor
Accounting,Bookkeeper
Accounting,"Budget Analyst"
Accounting,"Claims Adjustor"
Accounting,"Compliance Officer"
Accounting,Controller
Accounting,"Cost Estimator"
Accounting,CPA
Accounting,Other
Accounting,"Tax Specialist"
"Advertising & Marketing","Account Executive"
"Advertising & Marketing","Brand Marketer"
"Advertising & Marketing",Copywriter
"Advertising & Marketing",Creative
"Advertising & Marketing",Digital
"Advertising & Marketing","Direct Mail"
"Advertising & Marketing","Media Planner / Buyer"
"Advertising & Marketing","Online Advertising"
"Advertising & Marketing",Other
"Advertising & Marketing",Producer
"Advertising & Marketing","Project Manager"
"Advertising & Marketing",Radio
"Advertising & Marketing",Sales
"Advertising & Marketing","Search Engine Optimization"
"Advertising & Marketing","Social Media"
"Advertising & Marketing","Television Advertising"
"Apparel & Fashion","Alterations / Tailoring"
"Apparel & Fashion","Clothing Retail"
"Apparel & Fashion","Custom Apparel"
"Apparel & Fashion",Sales
Appliance,Manufacturing
Appliance,Repair
Appliance,Sales
Appraisals,Antiques
Appraisals,Business
Appraisals,Estate
Appraisals,"Real Estate"
"Architecture, Engineering & Plannin","Architect - Commercial"
"Architecture, Engineering & Plannin","Architect - Government"
"Architecture, Engineering & Plannin","Architect - Industrial"
"Architecture, Engineering & Plannin","Architect - Landscape"
"Architecture, Engineering & Plannin","Architect - Residential"
"Architecture, Engineering & Plannin","CAD Designer / Drafter"
"Architecture, Engineering & Plannin","Design - Green"
"Architecture, Engineering & Plannin","Design - Interior"
"Architecture, Engineering & Plannin","Engineer - Aerospace & Aeronautics"
"Architecture, Engineering & Plannin","Engineer - Civil"
"Architecture, Engineering & Plannin","Engineer - Environmental"
"Architecture, Engineering & Plannin","Engineer - Geotechnical"
"Architecture, Engineering & Plannin","Engineer - Mechanical"
"Architecture, Engineering & Plannin","Engineer - Structural"
Art,Antiques
Art,"Art Gallery"
Art,Artist
Art,Other
Art,"Picture Framing"
Art,Restoration
Art,Sales
"Arts & Entertainment",Actor
"Arts & Entertainment",Cinemtaographer
"Arts & Entertainment",Director
"Arts & Entertainment",DJ
"Arts & Entertainment",Magician
"Arts & Entertainment",Musician
"Arts & Entertainment",Photographer
"Arts & Entertainment",Producer
"Arts & Entertainment","Voice-Over Artist"
Auctions,Auctioneer
Auctions,Organizer
"Audio & Video","Audio and Video Equipment "
"Audio & Video","Audio Engineer"
"Audio & Video",Composer
"Audio & Video","Editor Advertising"
"Audio & Video","Editor Film"
"Audio & Video",Sales
Automotive,"Auto Mechanic"
Automotive,"Auto Sales"
Automotive,"Body Shop"
Automotive,Detailing
Automotive,Glass
Automotive,Mechanic
Automotive,Racer
Automotive,Sales
Automotive,Service/Rapair
"Banking & Financial",Analyst
"Banking & Financial","Asset Management"
"Banking & Financial",Auditor
"Banking & Financial","Brokersage Services"
"Banking & Financial","Business Loan"
"Banking & Financial","Capital Risk"
"Banking & Financial","Commerical Lender"
"Banking & Financial","Compliance Officer"
"Banking & Financial",Consultant
"Banking & Financial","Credit Officer"
"Banking & Financial","Credit Risk Analyst"
"Banking & Financial","Financial Advisor"
"Banking & Financial","Financial Advisor"
"Banking & Financial","Financial Analyst"
"Banking & Financial","Financial Analyst"
"Banking & Financial","Investment Banker"
"Banking & Financial","Investment Banker"
"Banking & Financial","Mortage Loan"
"Banking & Financial",Other
"Banking & Financial","Personal Banker"
"Banking & Financial","Personal Finance Advisor"
"Banking & Financial","Personal Loan"
"Banking & Financial","Portfolio Strategist"
"Banking & Financial","Private Wealth Relationship Manager"
"Banking & Financial","Retail Mortgage Banker"
"Banking & Financial","Risk Officer"
"Banking & Financial",Trader
"Banking & Financial",Underwriter
"Building Materials","Building Materials"
"Business Supplies & Equipment",Manufacturing
"Business Supplies & Equipment",Other
"Business Supplies & Equipment",Repair
"Business Supplies & Equipment",Sales
Concierge,Concierge
"Construction & General Contracting",Civic
"Construction & General Contracting",Commercial
"Construction & General Contracting","Construction Manager"
"Construction & General Contracting","Cost Estimator"
"Construction & General Contracting","Home Inspector"
"Construction & General Contracting",Other
"Construction & General Contracting","Project Manager"
"Construction & General Contracting",Residential
"Construction & General Contracting","Trade - Boiler Mechanic"
"Construction & General Contracting","Trade - Building Inspector"
"Construction & General Contracting","Trade - Carpenter"
"Construction & General Contracting","Trade - Carpet Layer"
"Construction & General Contracting","Trade - Cement Mason / Terrazzo"
"Construction & General Contracting","Trade - Claning Air Ducts"
"Construction & General Contracting","Trade - Demolition"
"Construction & General Contracting","Trade - Electrician"
"Construction & General Contracting","Trade - Elevator Mechanic"
"Construction & General Contracting","Trade - Excavation"
"Construction & General Contracting","Trade - Fences & Decks"
"Construction & General Contracting","Trade - Fire Protections"
"Construction & General Contracting","Trade - Glazier"
"Construction & General Contracting","Trade - Handyman"
"Construction & General Contracting","Trade - Hazardous Materials Removal"
"Construction & General Contracting","Trade - HVAC"
"Construction & General Contracting","Trade - Landscaper"
"Construction & General Contracting","Trade - Marble"
"Construction & General Contracting","Trade - Mason"
"Construction & General Contracting","Trade - Other"
"Construction & General Contracting","Trade - Painter"
"Construction & General Contracting","Trade - Paving"
"Construction & General Contracting","Trade - Plasterer"
"Construction & General Contracting","Trade - Plumber"
"Construction & General Contracting","Trade - Roofer"
"Construction & General Contracting","Trade - Siding"
"Construction & General Contracting","Trade - Stone & Marble"
"Construction & General Contracting","Trade - Tile Installer"
"Construction & General Contracting","Trade - Wallpaper & Wallcovering"
"Construction & General Contracting","Trade - Welder"
"Construction & General Contracting","Trade - Windows"
"Construction & General Contracting","Trade - Wood Flooring"
"Construction & General Contracting","Trade - Woodworker"
Consulting,"Business Operations Manager"
Consulting,Management
Consulting,"Market Research Analyst"
Consulting,Marketing
"Design & Multimedia","3D Animation"
"Design & Multimedia",Animation
"Design & Multimedia","Banner Ads"
"Design & Multimedia","Brochures & Presentations"
"Design & Multimedia","Cartoons & Comics"
"Design & Multimedia","Design Project Management"
"Design & Multimedia","Digital Image Editing"
"Design & Multimedia","Emails & Newsletters"
"Design & Multimedia","Graphic Design"
"Design & Multimedia",Illustration
"Design & Multimedia","Label & Package Design"
"Design & Multimedia",Logos
"Design & Multimedia","Mobile Design"
"Design & Multimedia",Other
"Design & Multimedia",Other
"Design & Multimedia","Page & Book Design"
"Design & Multimedia",Videos
Education,Other
Education,Testeducation
Education,Tutor
Electronics,"Equipment Leasing"
Electronics,"Equipment Repair"
Electronics,Other
"Energy & Fuel",Solar
Environmental,"Air Monitoring"
Environmental,"Asbestos Abatement"
Environmental,"Asbestos Removal"
Environmental,"Mold Inspection Removal"
Environmental,"Oil & Gas"
Environmental,Other
Events,"Event Planner"
Events,Other
Events,"Wedding Planner"
"Facilities Services",Cleaning
"Facilities Services",Maintenance
"Facilities Services",Management
"Fine Arts",Curator
"Food & Beverage",Baker
"Food & Beverage",Caterer
"Food & Beverage",Chef
"Food & Beverage","Chef - Personal"
"Food & Beverage",Manufacturing
"Food & Beverage",Other
"Food & Beverage",Sales
"Food & Beverage","Wine Maker"
"Furniture & Home Furnishings",Design
"Furniture & Home Furnishings",Manufacturing
"Furniture & Home Furnishings",Other
"Furniture & Home Furnishings",Sales
Gaming,Animation
Gaming,"Creative Director"
Gaming,Developer
Gaming,Engineer
Gaming,"Game Design"
Gaming,Other
Gaming,Producer
Gaming,"Product Manager"
Gaming,Programmer
Gaming,"Quality Control"
Gaming,Sales
Gaming,"Technical Artist"
Gaming,"Testing Q & A"
Gaming,Writing
"Health & Wellness",Accupuncturist
"Health & Wellness","Aide - Home Health"
"Health & Wellness","Aide - Hospice"
"Health & Wellness",Chiropractor
"Health & Wellness","Dental Assistant"
"Health & Wellness","Dental Hygienist"
"Health & Wellness",Dietician
"Health & Wellness","Fitness Trainer"
"Health & Wellness","Geriatric Personal Care Aide"
"Health & Wellness","Health Care Facility"
"Health & Wellness","Massage Therapist"
"Health & Wellness","Medical Secretary"
"Health & Wellness",Nurse
"Health & Wellness",Nutritionist
"Health & Wellness","Occupational Therapist"
"Health & Wellness",Optician
"Health & Wellness",Paramedic
"Health & Wellness",Pharmacist
"Health & Wellness","Physical Therapist"
"Health & Wellness","Retirement Community"
"Health & Wellness","Speech Language Therapist"
"Health & Wellness","Substance Abuse Counselor"
"Health & Wellness","Yoga Instructor"
"Human Resources & Payroll","HR - Compensation & Benefits"
